EmployeeID,Full_Name,Age,Gender,Department,Job_Title,Education,Hire_Date,Salary,Years_At_Company,Job_Satisfaction,Performance_Rating,Monthly_Hours,Attrition,Region,Payment_Method,Email
EMP00076,Employee_76,60,Female,Legal,Analyst,High School,2015-06-12,25000.0,16.0,2.0,2.0,70.0,Yes,Europe,Direct Deposit,employee_76@company.com
EMP00077,Employee_77,49,Male,Engineering,Associate,Master,2021-10-15,64800.0,10.0,1.0,5.0,42.0,No,Latin America,Check,Unknown
EMP00078,Employee_78,35,Male,Operations,Lead,Master,2022-06-04,67253.0,3.0,2.0,3.0,64.0,Yes,Asia Pacific,Check,employee_78@company.com
EMP00079,Employee_79,21,Female,HR,Lead,Associate,2015-05-05,84946.0,22.0,1.0,1.0,44.0,Yes,Middle East,Wire Transfer,employee_79@company.com
EMP00080,Employee_80,45,Female,Engineering,Senior Manager,Bachelor,2021-07-14,94681.0,22.0,5.0,1.0,55.0,No,North America,Wire Transfer,employee_80@company.com
EMP00081,Employee_81,27,Female,Finance,Manager,High School,2016-11-03,53684.0,16.0,2.0,2.0,68.0,No,Latin America,Direct Deposit,employee_81@company.com
EMP00082,Employee_82,29,Female,HR,Intern,PhD,2018-05-22,69308.0,24.0,1.0,5.0,68.0,No,Middle East,Cash,employee_82@company.com
EMP00083,Employee_83,44,Female,IT,Senior Manager,PhD,2022-01-06,85057.0,1.0,4.0,3.0,38.0,No,Middle East,Check,employee_83@company.com
EMP00084,Employee_84,21,Female,Operations,Associate,Bachelor,2015-05-05,25000.0,20.0,1.0,3.0,45.0,No,Asia Pacific,Check,employee_84@company.com
EMP00085,Employee_85,28,Female,Operations,Director,PhD,2022-08-12,25000.0,21.0,5.0,3.0,56.0,No,Asia Pacific,Wire Transfer,employee_85@company.com
EMP00086,Employee_86,44,Female,Operations,Director,Master,2015-05-05,89568.0,0.0,1.0,3.0,75.0,Yes,Middle East,Wire Transfer,employee_86@company.com
EMP00087,Employee_87,31,Female,Sales,Director,Bachelor,2015-05-05,78072.0,17.0,2.0,2.0,57.0,Yes,North America,Wire Transfer,employee_87@company.com
EMP00088,Employee_88,37,Female,Engineering,Analyst,Associate,2016-07-17,25000.0,6.0,1.0,2.0,68.0,No,Latin America,Direct Deposit,employee_88@company.com
EMP00089,Employee_89,28,Female,Finance,Consultant,PhD,2022-02-23,25000.0,21.0,2.0,5.0,64.0,No,Asia Pacific,Cash,employee_89@company.com
EMP00090,Employee_90,55,Female,Sales,Analyst,Bachelor,2015-05-05,25000.0,5.0,5.0,4.0,59.0,Yes,Latin America,Check,employee_90@company.com
EMP00091,Employee_91,55,Female,IT,Analyst,High School,2012-06-23,86084.0,5.0,1.0,2.0,58.0,Yes,Asia Pacific,Cash,employee_91@company.com
EMP00092,Employee_92,53,Female,Marketing,VP,Associate,2016-10-18,42985.0,13.0,1.0,3.0,59.0,No,Middle East,Direct Deposit,employee_92@company.com
EMP00093,Employee_93,25,Female,Marketing,Director,Bachelor,2014-07-10,49486.0,22.0,5.0,5.0,64.0,No,Europe,Wire Transfer,employee_93@company.com
EMP00094,Employee_94,59,Male,Sales,Director,PhD,2015-05-05,86512.0,11.0,1.0,3.0,73.0,Yes,Asia Pacific,Check,employee_94@company.com
EMP00095,Employee_95,60,Female,Marketing,Manager,Master,2010-08-26,48322.0,0.0,2.0,2.0,78.0,No,North America,Wire Transfer,Unknown
EMP00096,Employee_96,48,Male,Engineering,Senior Manager,PhD,2010-07-09,25000.0,13.0,3.0,5.0,50.0,No,Middle East,Check,employee_96@company.com
EMP00097,Employee_97,27,Female,Marketing,Senior Manager,Master,2015-09-09,39135.0,11.0,3.0,3.0,44.0,Yes,Middle East,Wire Transfer,employee_97@company.com
EMP00098,Employee_98,29,Male,HR,Lead,Bachelor,2020-04-09,110498.0,8.0,2.0,4.0,65.0,Yes,North America,Wire Transfer,employee_98@company.com
EMP00099,Employee_99,28,Female,Sales,Analyst,High School,2015-11-25,78016.0,8.0,1.0,1.0,45.0,No,Middle East,Check,employee_99@company.com
EMP00100,Employee_100,32,Male,IT,Analyst,PhD,2020-01-28,58615.0,1.0,2.0,1.0,43.0,Yes,Latin America,Check,employee_100@company.com
EMP00101,Employee_101,41,Female,Finance,Consultant,PhD,2015-05-05,53941.0,17.0,5.0,3.0,70.0,Yes,Asia Pacific,Direct Deposit,employee_101@company.com
EMP00102,Employee_102,53,Female,IT,Analyst,Master,2020-09-16,25000.0,4.0,2.0,1.0,53.0,No,Asia Pacific,Wire Transfer,employee_102@company.com
EMP00103,Employee_103,43,Female,Operations,Manager,Bachelor,2010-10-10,62247.0,22.0,3.0,4.0,39.0,No,Europe,Cash,employee_103@company.com
EMP00104,Employee_104,44,Female,Legal,Analyst,Associate,2018-10-02,81626.0,11.0,4.0,4.0,46.0,No,North America,Wire Transfer,employee_104@company.com
EMP00105,Employee_105,57,Male,Sales,Consultant,Associate,2015-05-05,25000.0,13.0,5.0,3.0,44.0,No,Middle East,Check,employee_105@company.com
EMP00106,Employee_106,55,Female,Sales,VP,Master,2015-05-05,67639.0,12.0,1.0,4.0,48.0,No,Asia Pacific,Direct Deposit,employee_106@company.com
EMP00107,Employee_107,60,Male,Engineering,Analyst,Bachelor,2019-10-12,55815.0,2.0,2.0,1.0,54.0,No,Asia Pacific,Direct Deposit,employee_107@company.com
EMP00108,Employee_108,42,Female,Marketing,Director,Associate,2016-03-14,25000.0,14.0,5.0,3.0,54.0,Yes,Middle East,Check,employee_108@company.com
EMP00109,Employee_109,47,Female,IT,Senior Analyst,Master,2013-05-11,49083.0,14.0,3.0,1.0,78.0,Yes,Middle East,Check,employee_109@company.com
EMP00110,Employee_110,55,Female,Marketing,Associate,Associate,2014-04-08,25000.0,2.0,1.0,4.0,70.0,No,North America,Direct Deposit,employee_110@company.com
EMP00111,Employee_111,21,Female,HR,Consultant,PhD,2012-08-11,99851.0,19.0,2.0,4.0,59.0,No,Asia Pacific,Check,employee_111@company.com
EMP00112,Employee_112,55,Female,Engineering,VP,Associate,2013-07-16,25000.0,18.0,2.0,5.0,75.0,No,Middle East,Wire Transfer,employee_112@company.com
EMP00113,Employee_113,57,Female,Finance,Senior Analyst,Bachelor,2015-05-05,50286.0,14.0,1.0,2.0,39.0,No,Middle East,Check,employee_113@company.com
EMP00114,Employee_114,34,Male,Operations,Intern,High School,2015-05-05,25000.0,18.0,4.0,2.0,75.0,Yes,Asia Pacific,Check,employee_114@company.com
EMP00115,Employee_115,23,Female,Marketing,Associate,PhD,2015-05-05,25000.0,7.0,4.0,3.0,61.0,No,Asia Pacific,Direct Deposit,employee_115@company.com
EMP00116,Employee_116,21,Male,Finance,Analyst,Associate,2017-06-07,75765.0,22.0,5.0,1.0,36.0,No,Latin America,Direct Deposit,Unknown
EMP00117,Employee_117,25,Female,HR,Intern,PhD,2014-10-19,25617.0,12.0,2.0,2.0,46.0,No,Asia Pacific,Wire Transfer,employee_117@company.com
EMP00118,Employee_118,46,Female,IT,Consultant,Bachelor,2015-05-05,25000.0,22.0,5.0,3.0,62.0,No,Asia Pacific,Check,employee_118@company.com
EMP00119,Employee_119,34,Male,HR,Consultant,High School,2015-05-05,58698.0,9.0,1.0,4.0,78.0,No,Asia Pacific,Check,employee_119@company.com
EMP00120,Employee_120,59,Female,Engineering,Lead,High School,2019-02-27,25000.0,1.0,5.0,2.0,47.0,Yes,Asia Pacific,Check,employee_120@company.com
EMP00121,Employee_121,47,Female,Sales,Intern,High School,2022-03-07,25000.0,10.0,2.0,1.0,55.0,Yes,Latin America,Cash,employee_121@company.com
EMP00122,Employee_122,29,Male,Legal,Analyst,PhD,2010-10-22,25432.0,24.0,4.0,5.0,77.0,No,Latin America,Check,employee_122@company.com
EMP00123,Employee_123,35,Male,Operations,Senior Manager,Bachelor,2015-05-05,96647.0,21.0,4.0,5.0,42.0,Yes,Asia Pacific,Direct Deposit,employee_123@company.com
EMP00124,Employee_124,35,Male,IT,VP,Bachelor,2015-01-08,60724.0,18.0,1.0,2.0,46.0,No,North America,Cash,employee_124@company.com
EMP00125,Employee_125,41,Female,Marketing,Associate,PhD,2019-06-01,145219.0,8.0,3.0,5.0,75.0,No,Latin America,Wire Transfer,employee_125@company.com
EMP00126,Employee_126,33,Male,IT,Intern,PhD,2022-09-02,44745.0,8.0,5.0,3.0,57.0,Yes,North America,Wire Transfer,employee_126@company.com
EMP00127,Employee_127,41,Male,Marketing,VP,High School,2019-03-06,25000.0,5.0,1.0,1.0,45.0,Yes,North America,Check,employee_127@company.com
EMP00128,Employee_128,59,Female,Marketing,VP,High School,2020-04-24,25000.0,9.0,4.0,4.0,53.0,No,North America,Direct Deposit,employee_128@company.com
EMP00129,Employee_129,52,Female,HR,VP,Master,2019-03-30,60596.0,21.0,2.0,1.0,42.0,No,Asia Pacific,Wire Transfer,employee_129@company.com
EMP00130,Employee_130,24,Female,IT,Senior Manager,High School,2013-03-06,104380.0,23.0,2.0,4.0,61.0,No,Europe,Check,employee_130@company.com
EMP00131,Employee_131,50,Female,Legal,Intern,Master,2022-12-08,90253.0,7.0,3.0,5.0,41.0,No,Middle East,Direct Deposit,employee_131@company.com
EMP00132,Employee_132,57,Female,Engineering,Lead,Associate,2018-10-24,25000.0,14.0,3.0,3.0,55.0,No,Middle East,Direct Deposit,employee_132@company.com
EMP00133,Employee_133,43,Male,Engineering,Associate,Bachelor,2022-10-17,95103.0,5.0,4.0,4.0,61.0,Yes,Asia Pacific,Direct Deposit,employee_133@company.com
EMP00134,Employee_134,41,Female,Operations,Analyst,PhD,2015-05-05,82070.0,6.0,3.0,5.0,48.0,Yes,Europe,Cash,employee_134@company.com
EMP00135,Employee_135,41,Female,HR,Director,Master,2010-03-19,25000.0,19.0,3.0,4.0,66.0,Yes,Latin America,Check,employee_135@company.com
EMP00136,Employee_136,49,Female,Marketing,Intern,Master,2015-05-05,47894.0,16.0,5.0,2.0,63.0,Yes,Asia Pacific,Wire Transfer,employee_136@company.com
EMP00137,Employee_137,56,Female,Sales,Consultant,High School,2011-01-05,25000.0,3.0,5.0,1.0,58.0,Yes,Asia Pacific,Direct Deposit,employee_137@company.com
EMP00138,Employee_138,33,Female,Engineering,Lead,Associate,2013-11-12,68427.0,7.0,2.0,3.0,62.0,No,North America,Cash,employee_138@company.com
EMP00139,Employee_139,52,Male,Marketing,Senior Manager,High School,2019-07-03,51171.0,12.0,2.0,5.0,58.0,No,Asia Pacific,Wire Transfer,employee_139@company.com
EMP00140,Employee_140,27,Female,Marketing,Consultant,High School,2023-04-28,97816.0,23.0,4.0,3.0,36.0,No,Latin America,Wire Transfer,employee_140@company.com
EMP00141,Employee_141,42,Female,Legal,Associate,High School,2020-10-19,25000.0,13.0,4.0,1.0,65.0,No,Asia Pacific,Cash,employee_141@company.com
EMP00142,Employee_142,48,Male,HR,Consultant,PhD,2021-08-02,25000.0,17.0,5.0,4.0,46.0,No,North America,Direct Deposit,employee_142@company.com
EMP00143,Employee_143,22,Female,Legal,Analyst,PhD,2020-03-09,32464.0,22.0,1.0,4.0,35.0,Yes,Asia Pacific,Direct Deposit,employee_143@company.com
EMP00144,Employee_144,26,Female,Sales,Associate,PhD,2023-01-24,34051.0,16.0,3.0,3.0,55.0,Yes,North America,Direct Deposit,employee_144@company.com
EMP00145,Employee_145,48,Female,Sales,Manager,Master,2015-05-05,58416.0,17.0,3.0,4.0,63.0,No,Asia Pacific,Wire Transfer,employee_145@company.com
EMP00146,Employee_146,48,Female,IT,Associate,Master,2013-05-06,70402.0,13.0,2.0,4.0,64.0,Yes,Middle East,Direct Deposit,employee_146@company.com
EMP00147,Employee_147,40,Female,HR,Senior Manager,PhD,2015-05-05,25000.0,23.0,2.0,4.0,76.0,No,North America,Cash,employee_147@company.com
EMP00148,Employee_148,50,Male,Legal,Associate,PhD,2016-01-31,25000.0,10.0,5.0,2.0,35.0,No,Latin America,Check,employee_148@company.com
EMP00149,Employee_149,31,Female,Marketing,Intern,High School,2015-05-05,58693.0,9.0,3.0,5.0,56.0,Yes,Asia Pacific,Cash,employee_149@company.com
EMP00150,Employee_150,48,Male,Marketing,Analyst,Bachelor,2015-05-05,59577.0,12.0,2.0,5.0,76.0,No,Latin America,Check,employee_150@company.com
EMP00151,Employee_151,45,Male,Finance,VP,High School,2011-08-22,108796.0,19.0,2.0,1.0,42.0,Yes,Asia Pacific,Direct Deposit,employee_151@company.com
EMP00152,Employee_152,59,Female,Finance,Manager,High School,2019-11-22,95134.0,15.0,4.0,4.0,47.0,No,Latin America,Wire Transfer,employee_152@company.com
EMP00153,Employee_153,53,Female,Engineering,Senior Manager,High School,2015-05-05,75208.0,13.0,1.0,3.0,48.0,Yes,Latin America,Wire Transfer,employee_153@company.com
EMP00154,Employee_154,21,Female,Operations,Director,Master,2021-05-04,87917.0,2.0,5.0,4.0,76.0,No,Middle East,Wire Transfer,Unknown
EMP00155,Employee_155,47,Female,Finance,Consultant,Associate,2016-01-06,25000.0,17.0,1.0,1.0,35.0,No,Latin America,Wire Transfer,employee_155@company.com
EMP00156,Employee_156,33,Female,Engineering,Director,Bachelor,2018-03-24,44437.0,5.0,1.0,4.0,66.0,Yes,Latin America,Cash,employee_156@company.com
EMP00157,Employee_157,60,Male,HR,Senior Manager,High School,2011-10-24,54195.0,19.0,5.0,2.0,72.0,No,Asia Pacific,Check,employee_157@company.com
EMP00158,Employee_158,23,Male,Marketing,Director,Associate,2021-04-28,25000.0,2.0,3.0,1.0,46.0,Yes,Latin America,Wire Transfer,employee_158@company.com
EMP00159,Employee_159,59,Female,HR,Manager,High School,2015-05-05,26357.0,18.0,2.0,5.0,79.0,Yes,Asia Pacific,Check,employee_159@company.com
EMP00160,Employee_160,26,Male,Sales,Analyst,High School,2015-05-05,25000.0,2.0,5.0,5.0,50.0,No,Europe,Wire Transfer,employee_160@company.com
EMP00161,Employee_161,28,Female,Operations,Consultant,High School,2015-05-05,99644.0,11.0,2.0,2.0,58.0,Yes,Latin America,Wire Transfer,employee_161@company.com
EMP00162,Employee_162,47,Female,Legal,Consultant,Bachelor,2015-05-05,64680.0,7.0,4.0,5.0,78.0,No,Middle East,Wire Transfer,employee_162@company.com
EMP00163,Employee_163,29,Male,Marketing,Analyst,Master,2015-05-05,81205.0,24.0,1.0,2.0,54.0,No,Asia Pacific,Cash,employee_163@company.com
EMP00164,Employee_164,57,Male,Operations,Lead,High School,2016-12-20,25000.0,24.0,4.0,5.0,77.0,Yes,Asia Pacific,Direct Deposit,employee_164@company.com
EMP00165,Employee_165,53,Female,Sales,Director,PhD,2015-05-05,53959.0,4.0,1.0,5.0,78.0,Yes,Europe,Wire Transfer,employee_165@company.com
EMP00166,Employee_166,44,Female,Engineering,Associate,PhD,2013-12-14,25000.0,16.0,3.0,4.0,66.0,Yes,Asia Pacific,Wire Transfer,employee_166@company.com
EMP00167,Employee_167,35,Male,IT,Associate,High School,2011-01-04,29295.0,9.0,5.0,1.0,61.0,No,Asia Pacific,Wire Transfer,employee_167@company.com
EMP00168,Employee_168,52,Female,Finance,Manager,High School,2015-05-05,25000.0,20.0,5.0,5.0,68.0,Yes,Latin America,Wire Transfer,employee_168@company.com
EMP00169,Employee_169,52,Male,IT,Consultant,Associate,2015-05-05,28943.0,16.0,1.0,1.0,56.0,No,Latin America,Wire Transfer,employee_169@company.com
EMP00170,Employee_170,44,Male,Operations,Associate,Bachelor,2015-05-05,25000.0,8.0,4.0,1.0,37.0,Yes,Europe,Direct Deposit,employee_170@company.com
